train_loss,train_acc,val_loss,val_acc
1.41858412027359,0.380625,1.6103261089324952,0.295
1.1551697444915772,0.530625,1.2424181509017944,0.52
0.9859514474868775,0.620625,1.3026068830490112,0.46
0.7990054118633271,0.69,1.0293377876281737,0.61
0.6272056728601456,0.764375,1.3896775889396666,0.51
0.47852539241313935,0.83,1.1361479568481445,0.63
0.3697106176614761,0.8825,0.9774307060241699,0.68
0.2099526919424534,0.958125,0.703605774641037,0.76
0.15092308461666107,0.98,0.6653278183937072,0.76
0.13285504639148712,0.98125,0.6772074890136719,0.76
0.12530050411820412,0.984375,0.6743465209007263,0.755
0.09641564160585403,0.99125,0.6674467992782592,0.76
0.09204716071486473,0.995,0.6598934817314148,0.785
0.08136672914028167,0.9975,0.6747794222831726,0.785
